subset_id,dim_reduce_alg,dim_reduce_param,transformed,clustering_alg,clustering_param,mutual_info_score,silhouette_score
8,PCA,None,True,Agglomerative,5,0.011597559708570031,0.4647281344429924
8,PCA,None,True,Agglomerative,6,0.0194423233187784,0.35676601090029825
8,PCA,None,True,Agglomerative,7,0.019646850396689033,0.36658644581272254
8,PCA,None,True,Agglomerative,8,0.024008443173842167,0.28075476287416357
8,PCA,None,True,DBSCAN,0.5,0.01019791616846272,-0.3259194968669465
8,PCA,None,True,DBSCAN,10,0.020491452008843808,0.35220396308318175
8,PCA,None,True,DBSCAN,4,0.023340091716407472,-0.10911942747863618
8,PCA,None,True,GaussianMixture,2,0.005219356796992151,0.3954396042089693
8,PCA,None,True,GaussianMixture,3,0.009770415670176075,0.42217930035290885
8,PCA,None,True,GaussianMixture,4,0.01338728613681205,0.4475424642296452
8,PCA,None,True,GaussianMixture,5,0.011230863580012249,0.4266681762896472
8,PCA,None,True,GaussianMixture,6,0.027621075853427095,0.27337842469036583
8,PCA,None,True,GaussianMixture,7,0.01870037778810554,0.2192213380306169
8,PCA,None,True,GaussianMixture,8,0.022293945597890243,0.23925668531342106
8,PCA,None,True,KMeans,2,0.005219356796992151,0.3954396042089693
8,PCA,None,True,KMeans,3,0.009770415670176075,0.42217930035290885
8,PCA,None,True,KMeans,4,0.013873231577227002,0.44755632267304124
8,PCA,None,True,KMeans,5,0.01170925873964707,0.4299941082019568
8,PCA,None,True,KMeans,6,0.028861357933846546,0.27549458348030986
8,PCA,None,True,KMeans,7,0.019030702181794982,0.21936771978864916
8,PCA,None,True,KMeans,8,0.022867997023022228,0.23968658593292222
8,TSNE,3,False,Agglomerative,2,0.013129545068484254,0.3127540658768504
8,TSNE,3,False,Agglomerative,3,0.008837500348427682,0.24545767560285173
8,TSNE,3,False,Agglomerative,4,0.02598701326744953,0.26096607451698867
8,TSNE,3,False,Agglomerative,5,0.023953216350131125,0.2737475234311266
8,TSNE,3,False,Agglomerative,6,0.023666358700205746,0.25847723476912277
8,TSNE,3,False,Agglomerative,7,0.02427807683517513,0.2518301283788202
8,TSNE,3,False,Agglomerative,8,0.022479392455621118,0.2611691686675697
8,TSNE,3,False,DBSCAN,0.5,0.029746586916940924,-0.5301894513303861
8,TSNE,3,False,DBSCAN,10,0.0,
8,TSNE,3,False,DBSCAN,4,0.0,
8,TSNE,3,False,GaussianMixture,2,0.013734148742244096,0.34233217852028847
8,TSNE,3,False,GaussianMixture,3,0.02958482503538689,0.2895617558735594
8,TSNE,3,False,GaussianMixture,4,0.0271245739203986,0.3042977019232936
8,TSNE,3,False,GaussianMixture,5,0.023819403512800517,0.29914259813029237
8,TSNE,3,False,GaussianMixture,6,0.02567524772900928,0.26094813214452045
8,TSNE,3,False,GaussianMixture,7,0.02092715277774438,0.2904496987421146
8,TSNE,3,False,GaussianMixture,8,0.02049492680542478,0.3002443940118
8,TSNE,3,False,KMeans,2,0.02468094569638923,0.34357433258007547
8,TSNE,3,False,KMeans,3,0.029856930438289873,0.3013992346255785
8,TSNE,3,False,KMeans,4,0.030572643063805315,0.3174541771296437
8,TSNE,3,False,KMeans,5,0.02681155775470507,0.3119106450487322
8,TSNE,3,False,KMeans,6,0.027567142973077004,0.28634754111721406
8,TSNE,3,False,KMeans,7,0.02266582354903862,0.3168636290612243
8,TSNE,3,False,KMeans,8,0.024792610726136532,0.3158544941985347
8,TSNE,3,True,Agglomerative,2,0.0001883822998250645,0.20716068615239627
8,TSNE,3,True,Agglomerative,3,0.004976024963705582,0.2314419852386155
8,TSNE,3,True,Agglomerative,4,0.011106956083085354,0.22557864248620244
8,TSNE,3,True,Agglomerative,5,0.013134839818206723,0.23667364378244907
8,TSNE,3,True,Agglomerative,6,0.01217044073978899,0.24751375407199885
8,TSNE,3,True,Agglomerative,7,0.012368549386938075,0.25759669035265814
8,TSNE,3,True,Agglomerative,8,0.01494282740144028,0.27990709937974506
8,TSNE,3,True,DBSCAN,0.5,0.03199368548956175,-0.5128253075895376
8,TSNE,3,True,DBSCAN,10,0.0,
8,TSNE,3,True,DBSCAN,4,0.020180402771915806,0.17220089577071127
8,TSNE,3,True,GaussianMixture,2,1.849656473805096e-05,0.2409622945523877
8,TSNE,3,True,GaussianMixture,3,0.007127136411705847,0.2572057037191947
8,TSNE,3,True,GaussianMixture,4,0.013031063215081799,0.23501086173682206
8,TSNE,3,True,GaussianMixture,5,0.015115125299174645,0.254766788005127
8,TSNE,3,True,GaussianMixture,6,0.01804964976404449,0.2790977360816245
8,TSNE,3,True,GaussianMixture,7,0.02224022706622383,0.27047676106946567
8,TSNE,3,True,GaussianMixture,8,0.019904296889816642,0.2671468636670393
8,TSNE,3,True,KMeans,2,0.0009479378749894518,0.24225506429583232
8,TSNE,3,True,KMeans,3,0.011311970615679892,0.257737019022571
8,TSNE,3,True,KMeans,4,0.015071555141341496,0.2749797917646216
8,TSNE,3,True,KMeans,5,0.01416764565384907,0.2730461522167265
8,TSNE,3,True,KMeans,6,0.016402860965862985,0.30382147325743014
8,TSNE,3,True,KMeans,7,0.017448549089376097,0.3005501806464521
8,TSNE,3,True,KMeans,8,0.02001312850737245,0.2952168412932062
9,ICA,10,False,Agglomerative,2,0.004131904220595401,0.23146099348290905
9,ICA,10,False,Agglomerative,3,0.01433974570707154,0.22289691692231614
9,ICA,10,False,Agglomerative,4,0.009673054522186291,0.0914313130502581
9,ICA,10,False,Agglomerative,5,0.008661030471684551,0.04922674909476404
9,ICA,10,False,Agglomerative,6,0.00899919088638876,0.0557991560798702
9,ICA,10,False,Agglomerative,7,0.008301944068955862,0.05624447930405623
9,ICA,10,False,Agglomerative,8,0.011419195408576535,0.053664529870738054
9,ICA,10,False,DBSCAN,0.5,0.021121620647232966,-0.3704721964067724
9,ICA,10,False,DBSCAN,10,0.0,
9,ICA,10,False,DBSCAN,4,7.447227805614328e-05,0.6025541074588057
9,ICA,10,False,GaussianMixture,2,0.006057070864708243,0.0634846809071014
9,ICA,10,False,GaussianMixture,3,0.018993996843306358,0.020947505019033082
9,ICA,10,False,GaussianMixture,4,0.011803736064911365,0.0203421603776338
9,ICA,10,False,GaussianMixture,5,0.01215732892788603,-0.032283728315220105
9,ICA,10,False,GaussianMixture,6,0.0167301969817306,-0.019944695225158033
9,ICA,10,False,GaussianMixture,7,0.013706313905160965,-0.041358490040151005
9,ICA,10,False,GaussianMixture,8,0.014556756919389542,-0.04902480468941129
9,ICA,10,False,KMeans,2,0.00451423018089769,0.24205006881092023
9,ICA,10,False,KMeans,3,0.022219921515079875,0.09250898060983653
9,ICA,10,False,KMeans,4,0.01729296633712394,0.08572001066517715
9,ICA,10,False,KMeans,5,0.021613924390478288,0.0993885896813889
9,ICA,10,False,KMeans,6,0.019610616810693628,0.09752449591397341
9,ICA,10,False,KMeans,7,0.02370986349391926,0.09870353191529928
9,ICA,10,False,KMeans,8,0.022164072258599246,0.09338327950641995
9,ICA,10,True,Agglomerative,2,0.012323426044457533,0.4554626243352128
9,ICA,10,True,Agglomerative,3,0.02222352947094727,0.45658626712249234
9,ICA,10,True,Agglomerative,4,0.020218966619204005,0.4008864150310189
9,ICA,10,True,Agglomerative,5,0.017231885947659346,0.42610540740648284
9,ICA,10,True,Agglomerative,6,0.026235310830655213,0.3840006739270505
9,ICA,10,True,Agglomerative,7,0.024565268049429084,0.4128747794360096
9,ICA,10,True,Agglomerative,8,0.026356457372871536,0.3228608369637639
9,ICA,10,True,DBSCAN,0.5,0.022463665800071753,0.053595678840426174
9,ICA,10,True,DBSCAN,10,0.0,
9,ICA,10,True,DBSCAN,4,0.01761150149795112,0.43105031056765447
9,ICA,10,True,GaussianMixture,2,0.01604904461540892,0.43850579014451313
9,ICA,10,True,GaussianMixture,3,0.01545103773663367,0.4077581478544472
9,ICA,10,True,GaussianMixture,4,0.014236433735866754,0.4158200465826452
9,ICA,10,True,GaussianMixture,5,0.02651358365491706,0.2129355136902971
9,ICA,10,True,GaussianMixture,6,0.02804130598923916,0.30370937974951107
9,ICA,10,True,GaussianMixture,7,0.02568470565088862,0.3102534522162865
9,ICA,10,True,GaussianMixture,8,0.031020954010519918,0.3209802681493026
9,ICA,10,True,KMeans,2,0.01604904461540892,0.43850579014451313
9,ICA,10,True,KMeans,3,0.04779671091967343,0.2123410484340308
9,ICA,10,True,KMeans,4,0.04160645679681349,0.2421078650599986
9,ICA,10,True,KMeans,5,0.03476626592635518,0.2655751160783397
9,ICA,10,True,KMeans,6,0.04187233180831548,0.1912367372885487
9,ICA,10,True,KMeans,7,0.03567358311810318,0.21538369178088357
9,ICA,10,True,KMeans,8,0.04343773433398702,0.21376791847710847
9,ICA,15,False,Agglomerative,2,0.005594626692444401,0.19743664093582755
9,ICA,15,False,Agglomerative,3,0.029407541905733726,0.14775795776134065
9,ICA,15,False,Agglomerative,4,0.022938827048601066,0.1016021678354557
9,ICA,15,False,Agglomerative,5,0.02123349338678025,0.11658526920373755
9,ICA,15,False,Agglomerative,6,0.019565386977251464,0.11127020140256645
9,ICA,15,False,Agglomerative,7,0.02044694051610373,0.0559947497095205
9,ICA,15,False,Agglomerative,8,0.018762928468252338,0.059674623148013264
9,ICA,15,False,DBSCAN,0.5,0.020674400237954294,-0.3427567625833294
9,ICA,15,False,DBSCAN,10,0.0,
9,ICA,15,False,DBSCAN,4,0.0001332466878607392,0.40229488372073186
9,ICA,15,False,GaussianMixture,2,0.0007117768236219638,0.07443947654166845
9,ICA,15,False,GaussianMixture,3,0.021178028146182637,0.08960730305130117
9,ICA,15,False,GaussianMixture,4,0.01564670442978262,0.039773766693811004
9,ICA,15,False,GaussianMixture,5,0.014384659218901998,0.05854893251396163
9,ICA,15,False,GaussianMixture,6,0.015143889103971261,0.059505848907736615
9,ICA,15,False,GaussianMixture,7,0.01733294039212735,0.05335638000373039
9,ICA,15,False,GaussianMixture,8,0.0306094152039797,0.03381395516451667
9,ICA,15,False,KMeans,2,0.0007117768236219638,0.07443947654166845
9,ICA,15,False,KMeans,3,0.013372733664332705,0.12748415336881652
9,ICA,15,False,KMeans,4,0.015323624344604526,0.062331477789511744
9,ICA,15,False,KMeans,5,0.011897386175196034,0.06643094505719044
9,ICA,15,False,KMeans,6,0.014281476822710913,0.06674806455477748
9,ICA,15,False,KMeans,7,0.01556360082710686,0.07088996302675342
9,ICA,15,False,KMeans,8,0.029971375540124044,0.058463104011432836
9,ICA,15,True,Agglomerative,2,0.012323426044457533,0.33789557980800866
9,ICA,15,True,Agglomerative,3,0.02222352947094727,0.33734642339223114
9,ICA,15,True,Agglomerative,4,0.020218966619204005,0.2689619921478027
9,ICA,15,True,Agglomerative,5,0.017231885947659346,0.2849453809801373
9,ICA,15,True,Agglomerative,6,0.026235310830655213,0.2394432736139019
9,ICA,15,True,Agglomerative,7,0.024565268049429084,0.2540981299330066
9,ICA,15,True,Agglomerative,8,0.029626057094951655,0.20716760365712472
9,ICA,15,True,DBSCAN,0.5,0.024401003336066363,-0.15814094771033663
9,ICA,15,True,DBSCAN,10,0.0,
9,ICA,15,True,DBSCAN,4,0.017280406429111685,0.2832835137262955
9,ICA,15,True,GaussianMixture,2,0.01604904461540892,0.32605692992162943
9,ICA,15,True,GaussianMixture,3,0.011216830926847873,0.1464959447166381
9,ICA,15,True,GaussianMixture,4,0.008712350711421506,0.10077497686029935
9,ICA,15,True,GaussianMixture,5,0.008860473076492788,0.1071378101927583
9,ICA,15,True,GaussianMixture,6,0.009995658843053958,0.10093823650747101
9,ICA,15,True,GaussianMixture,7,0.016624632734609845,0.08508157738431682
9,ICA,15,True,GaussianMixture,8,0.02533095818263014,0.10246101929000528
9,ICA,15,True,KMeans,2,0.01604904461540892,0.32605692992162943
9,ICA,15,True,KMeans,3,0.011216830926847873,0.1464959447166381
9,ICA,15,True,KMeans,4,0.008712350711421506,0.10077497686029935
9,ICA,15,True,KMeans,5,0.008860473076492788,0.1071378101927583
9,ICA,15,True,KMeans,6,0.007012585377918217,0.0892011307030437
9,ICA,15,True,KMeans,7,0.015865983228870385,0.09911834919745643
9,ICA,15,True,KMeans,8,0.026081031975521262,0.10223224649263012
9,ICA,3,False,Agglomerative,2,0.0009590853559628511,0.5471773511438816
9,ICA,3,False,Agglomerative,3,0.012528256049580263,0.5628183595824073
9,ICA,3,False,Agglomerative,4,0.022430552202042847,0.4125021687185171
9,ICA,3,False,Agglomerative,5,0.024168034748517142,0.42207556903798815
9,ICA,3,False,Agglomerative,6,0.023613352246374238,0.3946048101054718
9,ICA,3,False,Agglomerative,7,0.023545610854574836,0.3982800443750201
9,ICA,3,False,Agglomerative,8,0.023752139792017322,0.4005907225858958
9,ICA,3,False,DBSCAN,0.5,0.007611605289262926,0.3204458200082558
9,ICA,3,False,DBSCAN,10,0.0,
9,ICA,3,False,DBSCAN,4,0.0,
9,ICA,3,False,GaussianMixture,2,0.00619863124264544,0.1752617890588995
9,ICA,3,False,GaussianMixture,3,0.007684817394863029,0.1326948160440931
9,ICA,3,False,GaussianMixture,4,0.012346903909290462,0.022570544338356827
9,ICA,3,False,GaussianMixture,5,0.01687976584139348,0.020405048706186493
9,ICA,3,False,GaussianMixture,6,0.016242223788749094,0.023267645850689887
9,ICA,3,False,GaussianMixture,7,0.015023523426323045,0.024597114165593695
9,ICA,3,False,GaussianMixture,8,0.016946945242790827,0.05514966829805311
9,ICA,3,False,KMeans,2,0.0044651020390179,0.5758504532495797
9,ICA,3,False,KMeans,3,0.015518521902353878,0.585859481908499
9,ICA,3,False,KMeans,4,0.02560369493896076,0.4801952524093978
9,ICA,3,False,KMeans,5,0.02702712699896363,0.49003509162450926
9,ICA,3,False,KMeans,6,0.028602887899511462,0.47917935119629657
9,ICA,3,False,KMeans,7,0.025348083026065643,0.4342400356926155
9,ICA,3,False,KMeans,8,0.022515418399170237,0.37844586661584206
9,ICA,3,True,Agglomerative,2,0.012323426044457533,0.810290543851621
9,ICA,3,True,Agglomerative,3,0.02222352947094727,0.8377592093384292
9,ICA,3,True,Agglomerative,4,0.018109883977722625,0.8709776905802379
9,ICA,3,True,Agglomerative,5,0.01777778090039461,0.8764200774482926
9,ICA,3,True,Agglomerative,6,0.0375829262725164,0.6243491680231585
9,ICA,3,True,Agglomerative,7,0.036484685394480965,0.6243958146577706
9,ICA,3,True,Agglomerative,8,0.03630763725688425,0.6263515976614186
9,ICA,3,True,DBSCAN,0.5,0.017395360035323243,0.8691938874019798
9,ICA,3,True,DBSCAN,10,0.0,
9,ICA,3,True,DBSCAN,4,0.012323426044457533,0.810290543851621
9,ICA,3,True,GaussianMixture,2,0.0010159371065555,0.774106632284484
9,ICA,3,True,GaussianMixture,3,0.012524422606656795,0.8267781122550245
9,ICA,3,True,GaussianMixture,4,0.018109883977722625,0.8709776905802379
9,ICA,3,True,GaussianMixture,5,0.01768605776151364,0.8727188900282801
9,ICA,3,True,GaussianMixture,6,0.01736619716769896,0.8783577814112726
9,ICA,3,True,GaussianMixture,7,0.03424573342502919,0.6402452685404554
9,ICA,3,True,GaussianMixture,8,0.015223264086743916,0.5839799681986225
9,ICA,3,True,KMeans,2,0.005678369869186947,0.7784587545290413
9,ICA,3,True,KMeans,3,0.012598249210860087,0.8268597241891932
9,ICA,3,True,KMeans,4,0.018086133734488974,0.8710796794332984
9,ICA,3,True,KMeans,5,0.01760132363456618,0.8727165627658411
9,ICA,3,True,KMeans,6,0.017457720461070584,0.878127571522984
9,ICA,3,True,KMeans,7,0.036679979504889645,0.6356300570911412
9,ICA,3,True,KMeans,8,0.04126119405014708,0.6161361933848274
9,ICA,5,False,Agglomerative,2,0.0055976409292518015,0.4003894175619741
9,ICA,5,False,Agglomerative,3,0.019976692057940684,0.37460393837140266
9,ICA,5,False,Agglomerative,4,0.03289291191090565,0.1975371740747446
9,ICA,5,False,Agglomerative,5,0.02698549192066773,0.19342350428439936
9,ICA,5,False,Agglomerative,6,0.02644864605734762,0.18445801316074398
9,ICA,5,False,Agglomerative,7,0.025488117781714312,0.18254965529110528
